Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombre,45,899,922,951,979,1008,1039,1066,1090,1114,1139,1167,1205,1249,1297,1348,1402,1459,1514,1572,1637,1705,1774,1849,1929,2013,2094,2199,2334,2471,2614,2742,2850,2960,3069,3177,3281,3398,3528,3657,3784,3895,3991,4089,4189,4290,4385
Hombre,46,876,898,921,948,975,1003,1033,1059,1082,1104,1130,1165,1205,1249,1297,1348,1403,1459,1514,1571,1635,1702,1772,1847,1927,2012,2103,2217,2353,2491,2615,2724,2833,2944,3056,3166,3288,3423,3555,3684,3794,3887,3978,4072,4168,4263
Hombre,47,850,872,894,915,942,969,996,1025,1050,1071,1095,1127,1165,1205,1249,1297,1348,1402,1459,1513,1570,1633,1700,1771,1846,1925,2019,2119,2234,2371,2491,2597,2707,2817,2930,3044,3171,3311,3447,3580,3691,3782,3870,3958,4048,4139
Hombre,48,825,846,868,888,909,934,960,986,1014,1038,1061,1092,1127,1164,1205,1249,1295,1346,1400,1456,1510,1566,1630,1697,1768,1843,1931,2033,2134,2250,2370,2473,2579,2690,2803,2918,3048,3192,3333,3470,3585,3676,3763,3848,3933,4019
Hombre,49,797,818,839,859,879,900,925,950,975,1001,1027,1058,1091,1126,1163,1203,1246,1293,1343,1396,1451,1505,1562,1626,1693,1763,1846,1943,2046,2147,2247,2351,2454,2562,2675,2789,2919,3066,3211,3353,3473,3567,3654,3738,3821,3903
Hombre,50,768,788,809,829,849,869,889,914,938,962,991,1023,1057,1090,1124,1161,1200,1243,1289,1338,1391,1447,1501,1558,1622,1689,1766,1857,1953,2056,2142,2227,2331,2436,2544,2658,2787,2934,3082,3229,3354,3452,3543,3628,3711,3791
Hombre,51,739,758,778,798,818,839,859,878,902,926,953,988,1023,1055,1088,1122,1158,1197,1239,1283,1333,1387,1442,1496,1553,1616,1690,1775,1865,1962,2051,2123,2208,2313,2418,2528,2657,2801,2949,3098,3227,3330,3426,3515,3599,3679
Hombre,52,710,727,746,766,787,807,827,847,867,891,917,950,988,1022,1054,1086,1119,1153,1191,1231,1277,1327,1381,1437,1490,1546,1616,1697,1781,1872,1956,2031,2104,2189,2294,2401,2524,2667,2813,2962,3094,3202,3303,3397,3486,3568
Hombre,53,683,697,714,733,754,775,796,817,837,856,883,915,950,986,1019,1051,1082,1113,1147,1183,1225,1271,1321,1375,1430,1483,1545,1621,1701,1786,1864,1935,2011,2084,2169,2275,2395,2532,2676,2823,2955,3066,3172,3272,3367,3454
Hombre,54,657,669,684,702,721,742,764,785,806,826,848,879,912,946,982,1015,1045,1074,1105,1138,1175,1218,1264,1315,1368,1423,1482,1549,1624,1704,1777,1844,1915,1990,2064,2150,2269,2402,2541,2686,2814,2926,3035,3141,3242,3336
Hombre,55,632,642,655,671,689,709,730,753,775,796,819,844,876,909,942,977,1008,1037,1066,1095,1129,1169,1211,1257,1307,1359,1419,1483,1550,1625,1694,1757,1823,1894,1970,2043,2142,2274,2408,2547,2674,2784,2894,3004,3110,3210
Hombre,56,609,617,627,641,657,676,697,720,743,766,789,814,841,872,904,936,970,1000,1028,1055,1086,1123,1162,1204,1248,1297,1354,1419,1482,1549,1614,1673,1735,1802,1873,1949,2035,2146,2278,2412,2534,2643,2752,2863,2972,3078
Hombre,57,587,594,602,614,628,646,666,688,711,736,760,785,810,835,866,897,928,961,990,1016,1045,1079,1115,1153,1194,1238,1291,1353,1416,1479,1537,1593,1652,1713,1780,1851,1939,2037,2148,2280,2397,2502,2611,2721,2831,2940
Hombre,58,564,571,578,588,600,616,634,655,679,704,729,754,778,803,828,858,888,918,950,978,1007,1038,1071,1106,1143,1183,1231,1288,1349,1412,1467,1516,1571,1630,1692,1759,1841,1940,2037,2148,2264,2365,2470,2578,2687,2796
Hombre,59,542,549,557,566,576,590,606,626,648,673,698,723,747,771,795,820,849,878,907,938,968,999,1030,1062,1095,1131,1175,1227,1283,1343,1398,1445,1494,1549,1607,1670,1747,1840,1939,2035,2131,2231,2332,2437,2545,2652
Hombre,60,518,527,535,544,553,565,580,598,618,642,666,690,714,738,762,786,809,838,867,895,928,960,990,1020,1051,1082,1122,1170,1221,1276,1329,1377,1423,1471,1526,1585,1657,1744,1837,1934,2016,2097,2198,2298,2402,2509
Hombre,61,493,503,513,522,531,542,555,571,590,612,635,658,681,704,728,752,775,799,827,855,885,920,951,980,1008,1037,1073,1116,1162,1212,1260,1307,1355,1401,1449,1504,1572,1653,1740,1831,1914,1982,2063,2163,2262,2363
Hombre,62,467,479,490,500,511,522,533,547,564,584,605,626,647,670,694,717,741,765,788,815,844,876,910,940,968,995,1027,1065,1107,1152,1196,1239,1285,1333,1378,1426,1490,1567,1647,1732,1810,1880,1948,2028,2125,2221
Hombre,63,442,454,466,478,490,501,512,525,539,557,576,594,614,636,659,682,706,730,754,777,805,836,866,899,928,954,983,1018,1055,1095,1135,1175,1217,1262,1309,1355,1411,1483,1558,1637,1708,1773,1843,1909,1987,2082
