Sexo,edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,43,0.008307,0.008122,0.008441,0.00868,0.008657,0.008436,0.008377,0.008163,0.007787,0.007597,0.007467,0.007148,0.006879,0.006498,0.006233,0.006144,0.00584,0.0057,0.005729,0.005607,0.005449,0.005263,0.005179,0.005111,0.005067,0.00508,0.00494,0.004801,0.004669,0.004441,0.004169,0.004028,0.003992,0.003962,0.003842,0.00389,0.003834,0.003906,0.00405,0.004169,0.004243,0.004173,0.004088,0.004053,0.004072,0.004157
Hombres,44,0.008687,0.008526,0.008854,0.009103,0.009068,0.008831,0.008765,0.008538,0.008148,0.007948,0.007819,0.007489,0.007208,0.006815,0.006546,0.006456,0.006144,0.006005,0.006036,0.005915,0.005752,0.005559,0.005473,0.005407,0.005361,0.005379,0.005235,0.005096,0.004961,0.004726,0.004441,0.004294,0.004259,0.004229,0.0041,0.00415,0.004083,0.004154,0.004301,0.004423,0.004498,0.004421,0.004333,0.004298,0.004322,0.004416
Hombres,45,0.009103,0.008964,0.009307,0.009561,0.00952,0.009267,0.009194,0.008954,0.00854,0.008335,0.008204,0.00786,0.007573,0.007166,0.006887,0.006802,0.006479,0.006338,0.006377,0.006256,0.006088,0.005889,0.005801,0.005731,0.005687,0.005711,0.005564,0.005421,0.005284,0.005038,0.00474,0.004586,0.004553,0.004522,0.004384,0.004435,0.00436,0.00443,0.004583,0.004706,0.004783,0.004699,0.004605,0.004571,0.0046,0.004707
Hombres,46,0.009557,0.009445,0.009803,0.010056,0.010009,0.009737,0.009658,0.009408,0.008975,0.008761,0.008628,0.008274,0.007974,0.007554,0.007267,0.007183,0.006852,0.006709,0.006755,0.00663,0.006458,0.006248,0.006161,0.006089,0.006048,0.006078,0.005923,0.005777,0.005638,0.005382,0.005069,0.004909,0.004875,0.004846,0.004697,0.004751,0.004667,0.004736,0.004892,0.005022,0.0051,0.005009,0.004909,0.004874,0.004911,0.005027
Hombres,47,0.010051,0.009968,0.010339,0.010605,0.01055,0.010256,0.010171,0.009905,0.009451,0.009227,0.009092,0.008725,0.00842,0.00798,0.007683,0.007607,0.007262,0.007113,0.007171,0.007043,0.006864,0.006647,0.006557,0.006487,0.006444,0.006479,0.006321,0.00617,0.006027,0.00576,0.005428,0.005261,0.005229,0.0052,0.005043,0.005097,0.005002,0.005072,0.005235,0.005369,0.00545,0.005352,0.005244,0.005211,0.005253,0.005382
Hombres,48,0.010584,0.01054,0.010924,0.011196,0.011131,0.010825,0.010731,0.010446,0.009972,0.009741,0.009599,0.009218,0.008905,0.008448,0.008144,0.008069,0.00771,0.007561,0.007631,0.007496,0.007312,0.007084,0.006992,0.006919,0.006876,0.006919,0.006754,0.006599,0.006453,0.006171,0.005821,0.005647,0.005618,0.005587,0.005419,0.005475,0.005371,0.005441,0.005612,0.005751,0.005834,0.005729,0.005616,0.005581,0.005631,0.005771
Hombres,49,0.01117,0.011156,0.011563,0.011841,0.011769,0.011438,0.01134,0.011042,0.010539,0.010301,0.010158,0.009762,0.009436,0.008959,0.008646,0.008574,0.008202,0.008053,0.008132,0.007995,0.007802,0.007564,0.007468,0.007393,0.007351,0.007401,0.007228,0.007069,0.006918,0.006622,0.006252,0.00607,0.006041,0.006011,0.005831,0.00589,0.005775,0.005845,0.006026,0.006172,0.006259,0.006145,0.006024,0.005989,0.006046,0.006199
Hombres,50,0.011802,0.011834,0.012252,0.012547,0.012459,0.012109,0.012002,0.011689,0.011159,0.010906,0.010767,0.010351,0.010016,0.009522,0.009192,0.009129,0.00874,0.008589,0.008677,0.008542,0.008342,0.008086,0.007989,0.007912,0.007872,0.007926,0.007747,0.00758,0.007424,0.007112,0.006718,0.006528,0.006502,0.006472,0.006279,0.006343,0.006216,0.006289,0.006478,0.006632,0.006725,0.006601,0.006472,0.006437,0.0065,0.006668
Hombres,51,0.012484,0.01256,0.013005,0.013303,0.013215,0.012837,0.012725,0.012389,0.011827,0.011573,0.01143,0.010999,0.010645,0.010128,0.009794,0.009731,0.009331,0.009175,0.009278,0.009136,0.008925,0.008661,0.008556,0.008477,0.008438,0.008501,0.00831,0.008136,0.007975,0.007644,0.007228,0.007028,0.007003,0.006974,0.006768,0.006836,0.006696,0.006771,0.006973,0.007136,0.007233,0.0071,0.006963,0.006927,0.006998,0.00718
Hombres,52,0.013225,0.01336,0.01382,0.01413,0.014026,0.013627,0.013502,0.013151,0.012563,0.012294,0.012148,0.0117,0.011337,0.010795,0.010447,0.010394,0.009969,0.009813,0.009929,0.009782,0.009564,0.009283,0.009176,0.009096,0.009054,0.009125,0.008922,0.008742,0.008574,0.008223,0.007783,0.00757,0.007547,0.007522,0.007301,0.007373,0.007219,0.007298,0.007513,0.007686,0.007789,0.007646,0.007499,0.007462,0.007542,0.007739
